"Player","Salary","Team"
"Kent Bazemore",18089888,"Atlanta Hawks"
"Miles Plumlee",12400000,"Atlanta Hawks"
"Jeremy Lin",11819388,"Atlanta Hawks"
"Dewayne Dedmon",6300000,"Atlanta Hawks"
"Trae Young",5363280,"Atlanta Hawks"
"Alex Len",4350000,"Atlanta Hawks"
"Taurean Prince",2526840,"Atlanta Hawks"
"Justin Anderson",2516047,"Atlanta Hawks"
"Vince Carter",2393887,"Atlanta Hawks"
"Jamal Crawford",2304226,"Atlanta Hawks"
"John Collins",2299080,"Atlanta Hawks"
"Kevin Huerter",2250960,"Atlanta Hawks"
"DeAndre Bembry",1634640,"Atlanta Hawks"
"Omari Spellman",1622520,"Atlanta Hawks"
"Daniel Hamilton",1349383,"Atlanta Hawks"
"Jabari Bird",1349383,"Atlanta Hawks"
"Jaylen Adams",236854,"Atlanta Hawks"
"Tyler Zeller",106974,"Atlanta Hawks"
"BJ Johnson",94741,"Atlanta Hawks"
"Alex Poythress",77250,"Atlanta Hawks"
"Jordan Sibert",47370,"Atlanta Hawks"
"Isaac Humphries",47370,"Atlanta Hawks"
"Gordon Hayward",31214295,"Boston Celtics"
"Al Horford",28928710,"Boston Celtics"
"Kyrie Irving",20099189,"Boston Celtics"
"Marcus Smart",11160716,"Boston Celtics"
"Jayson Tatum",6700800,"Boston Celtics"
"Marcus Morris",5375000,"Boston Celtics"
"Aron Baynes",5193600,"Boston Celtics"
"Jaylen Brown",5169960,"Boston Celtics"
"Terry Rozier",3050389,"Boston Celtics"
"Guerschon Yabusele",2667600,"Boston Celtics"
"Robert Williams",1656600,"Boston Celtics"
"Semi Ojeleye",1378242,"Boston Celtics"
"Daniel Theis",1378242,"Boston Celtics"
"Brad Wanamaker",838464,"Boston Celtics"
"Greg Monroe",122343,"Boston Celtics"
"Demetrius Jackson",92857,"Boston Celtics"
"Walter Lemon Jr",77250,"Boston Celtics"
"PJ Dozier",77250,"Boston Celtics"
"RJ Hunter",77250,"Boston Celtics"
"Jonathan Gibson",76236,"Boston Celtics"
"Allen Crabbe",19332500,"Brooklyn Nets"
"Dwight Howard",18919725,"Brooklyn Nets"
"DeMarre Carroll",15400000,"Brooklyn Nets"
"Kenneth Faried",13314045,"Brooklyn Nets"
"Jared Dudley",9530000,"Brooklyn Nets"
"Joe Harris",8333333,"Brooklyn Nets"
"D'Angelo Russell",7019698,"Brooklyn Nets"
"Deron Williams",5474787,"Brooklyn Nets"
"Ed Davis",4449000,"Brooklyn Nets"
"Rondae Hollis-Jefferson",2470356,"Brooklyn Nets"
"Greg Monroe",2165481,"Brooklyn Nets"
"Jarrett Allen",2034120,"Brooklyn Nets"
"Shabazz Napier",1942422,"Brooklyn Nets"
"Caris LeVert",1702800,"Brooklyn Nets"
"Rodions Kurucs",1690000,"Brooklyn Nets"
"Spencer Dinwiddie",1656092,"Brooklyn Nets"
"Dzanan Musa",1634400,"Brooklyn Nets"
"Treveon Graham",1512601,"Brooklyn Nets"
"Theo Pinson",77250,"Brooklyn Nets"
"Alan Williams",77250,"Brooklyn Nets"
"Mitchell Creek",47370,"Brooklyn Nets"
"Tahjere McCall",47370,"Brooklyn Nets"
"Nuni Omot",20000,"Brooklyn Nets"
"Nicolas Batum",2.4e+07,"Charlotte Hornets"
"Bismack Biyombo",1.7e+07,"Charlotte Hornets"
"Marvin Williams",14087500,"Charlotte Hornets"
"Cody Zeller",13528090,"Charlotte Hornets"
"Michael Kidd-Gilchrist",1.3e+07,"Charlotte Hornets"
"Kemba Walker",1.2e+07,"Charlotte Hornets"
"Jeremy Lamb",7e+06,"Charlotte Hornets"
"Tony Parker",5e+06,"Charlotte Hornets"
"Frank Kaminsky",3627842,"Charlotte Hornets"
"Malik Monk",3447480,"Charlotte Hornets"
"Miles Bridges",3206640,"Charlotte Hornets"
"Shelvin Mack",1512601,"Charlotte Hornets"
"Willy Hernangomez",1496500,"Charlotte Hornets"
"Dwayne Bacon",1378242,"Charlotte Hornets"
"Devonte Graham",988464,"Charlotte Hornets"
"JP Macura",77250,"Charlotte Hornets"
"Joe Chealey",77250,"Charlotte Hornets"
"Otto Porter",26011913,"Chicago Bulls"
"Zach LaVine",19500000,"Chicago Bulls"
"Robin Lopez",14357750,"Chicago Bulls"
"Omer Asik",11286516,"Chicago Bulls"
"Cristiano Felicio",8470980,"Chicago Bulls"
"Lauri Markkanen",4536120,"Chicago Bulls"
"Wendell Carter",4446840,"Chicago Bulls"
"Kris Dunn",4221000,"Chicago Bulls"
"Cameron Payne",3263294,"Chicago Bulls"
"Carmelo Anthony",2393887,"Chicago Bulls"
"Denzel Valentine",2280600,"Chicago Bulls"
"Chandler Hutchison",1991520,"Chicago Bulls"
"Timothe Luwawu",1880268,"Chicago Bulls"
"MarShon Brooks",1656092,"Chicago Bulls"
"Wayne Selden",1544951,"Chicago Bulls"
"Antonio Blakeney",1349383,"Chicago Bulls"
"Ryan Arcidiacono",1349383,"Chicago Bulls"
"Shaquille Harrison",1275531,"Chicago Bulls"
"Michael Carter-Williams",365966,"Chicago Bulls"
"Walter Lemon Jr",99000,"Chicago Bulls"
"JaKarr Sampson",85457,"Chicago Bulls"
"Rawle Alkins",77250,"Chicago Bulls"
"Tyler Ulis",77250,"Chicago Bulls"
"Brandon Sampson",77250,"Chicago Bulls"
"Kevin Love",24119025,"Cleveland Cavaliers"
"Tristan Thompson",17469565,"Cleveland Cavaliers"
"JR Smith",14720000,"Cleveland Cavaliers"
"Brandon Knight",14631250,"Cleveland Cavaliers"
"Jordan Clarkson",12500000,"Cleveland Cavaliers"
"John Henson",10577466,"Cleveland Cavaliers"
"Matthew Dellavedova",9607500,"Cleveland Cavaliers"
"Collin Sexton",4073760,"Cleveland Cavaliers"
"Marquese Chriss",3206160,"Cleveland Cavaliers"
"Cedi Osman",2775000,"Cleveland Cavaliers"
"Channing Frye",2393887,"Cleveland Cavaliers"
"Larry Nance Jr",2272390,"Cleveland Cavaliers"
"Ante Zizic",1952760,"Cleveland Cavaliers"
"David Nwaba",1512601,"Cleveland Cavaliers"
"Nik Stauskas",540471,"Cleveland Cavaliers"
"Patrick McCaw",186440,"Cleveland Cavaliers"
"Cameron Payne",177062,"Cleveland Cavaliers"
"John Holland",77250,"Cleveland Cavaliers"
"Billy Preston",77250,"Cleveland Cavaliers"
"Andrew Harrison",77250,"Cleveland Cavaliers"
"Jaron Blossomgame",77250,"Cleveland Cavaliers"
"Jalen Jones",77250,"Cleveland Cavaliers"
"Deng Adel",77250,"Cleveland Cavaliers"
"Kobi Simmons",76236,"Cleveland Cavaliers"
"Tim Hardaway Jr",17325000,"Dallas Mavericks"
"Courtney Lee",12253780,"Dallas Mavericks"
"Zach Randolph",11692308,"Dallas Mavericks"
"Dwight Powell",9631250,"Dallas Mavericks"
"Luka Doncic",6569040,"Dallas Mavericks"
"Kristaps Porzingis",5697054,"Dallas Mavericks"
"Dirk Nowitzki",5e+06,"Dallas Mavericks"
"Jose Juan Barea",3710850,"Dallas Mavericks"
"Justin Jackson",2807880,"Dallas Mavericks"
"Devin Harris",2393887,"Dallas Mavericks"
"Salah Mejri",2098196,"Dallas Mavericks"
"Trey Burke",1795015,"Dallas Mavericks"
"Dorian Finney-Smith",1544951,"Dallas Mavericks"
"Maxi Kleber",1378242,"Dallas Mavericks"
"Jalen Brunson",1230000,"Dallas Mavericks"
"Ryan Broekhoff",838464,"Dallas Mavericks"
"Raymond Spalding",838464,"Dallas Mavericks"
"Kostas Antetokounmpo",77250,"Dallas Mavericks"
"Daryl Macon",77250,"Dallas Mavericks"
"Paul Millsap",29230769,"Denver Nuggets"
"Nikola Jokic",25467250,"Denver Nuggets"
"Gary Harris",16517857,"Denver Nuggets"
"Mason Plumlee",12917808,"Denver Nuggets"
"Will Barton",11830358,"Denver Nuggets"
"Jamal Murray",3499800,"Denver Nuggets"
"Trey Lyles",3364249,"Denver Nuggets"
"Michael Porter",2894160,"Denver Nuggets"
"Juan Hernangomez",2166360,"Denver Nuggets"
"Isaiah Thomas",2029463,"Denver Nuggets"
"Torrey Craig",2e+06,"Denver Nuggets"
"Tyler Lydon",1874640,"Denver Nuggets"
"Malik Beasley",1773840,"Denver Nuggets"
"Monte Morris",1349383,"Denver Nuggets"
"Jarred Vanderbilt",838464,"Denver Nuggets"
"Nick Young",284020,"Denver Nuggets"
"Thomas Welsh",77250,"Denver Nuggets"
"DeVaughn Akoon-Purcell",77250,"Denver Nuggets"
"Archie Goodwin",77250,"Denver Nuggets"
"Brandon Goodwin",56845,"Denver Nuggets"
"Blake Griffin",31873932,"Detroit Pistons"
"Andre Drummond",25434262,"Detroit Pistons"
"Reggie Jackson",17043478,"Detroit Pistons"
"Jon Leuer",10002681,"Detroit Pistons"
"Langston Galloway",7e+06,"Detroit Pistons"
"Ishmael Smith",6e+06,"Detroit Pistons"
"Josh Smith",5331729,"Detroit Pistons"
"Glenn Robinson III",4075000,"Detroit Pistons"
"Luke Kennard",3275280,"Detroit Pistons"
"Thon Maker",2799720,"Detroit Pistons"
"Jose Calderon",2393887,"Detroit Pistons"
"Zaza Pachulia",2393887,"Detroit Pistons"
"Wayne Ellington",2383076,"Detroit Pistons"
"Henry Ellenson",1857480,"Detroit Pistons"
"Sviatoslav Mykhailiuk",1487694,"Detroit Pistons"
"Bruce Brown",838464,"Detroit Pistons"
"Khyri Thomas",838464,"Detroit Pistons"
"Isaiah Whitehead",726390,"Detroit Pistons"
"Kalin Lucas",648008,"Detroit Pistons"
"Keenan Evans",77250,"Detroit Pistons"
"Zach Lofton",77250,"Detroit Pistons"
"Stephen Curry",37457154,"Golden State Warriors"
"Kevin Durant",3e+07,"Golden State Warriors"
"Klay Thompson",18988725,"Golden State Warriors"
"Draymond Green",17469565,"Golden State Warriors"
"Andre Iguodala",1.6e+07,"Golden State Warriors"
"Shaun Livingston",8307692,"Golden State Warriors"
"DeMarcus Cousins",5337000,"Golden State Warriors"
"Jonas Jerebko",2165481,"Golden State Warriors"
"Jacob Evans",1646400,"Golden State Warriors"
"Kevon Looney",1567007,"Golden State Warriors"
"Damian Jones",1544951,"Golden State Warriors"
"Quinn Cook",1544951,"Golden State Warriors"
"Jordan Bell",1378242,"Golden State Warriors"
"Alfonzo McKinnie",1349383,"Golden State Warriors"
"Jason Thompson",893333,"Golden State Warriors"
"Andrew Bogut",486892,"Golden State Warriors"
"Damion Lee",77250,"Golden State Warriors"
"Marcus Derrickson",77250,"Golden State Warriors"
"Chris Paul",35654150,"Houston Rockets"
"James Harden",30570000,"Houston Rockets"
"Clint Capela",15793104,"Houston Rockets"
"Eric Gordon",13500375,"Houston Rockets"
"Iman Shumpert",11011234,"Houston Rockets"
"PJ Tucker",7959537,"Houston Rockets"
"Nenê",3651480,"Houston Rockets"
"Gerald Green",1512601,"Houston Rockets"
"Zhou Qi",1378242,"Houston Rockets"
"Austin Rivers",1155324,"Houston Rockets"
"Kenneth Faried",928737,"Houston Rockets"
"Isaiah Hartenstein",838464,"Houston Rockets"
"Michael Carter-Williams",834034,"Houston Rockets"
"Gary Clark",674122,"Houston Rockets"
"Danuel House",247827,"Houston Rockets"
"Terrence Jones",198579,"Houston Rockets"
"Deyonta Davis",196552,"Houston Rockets"
"Chris Chiozza",137374,"Houston Rockets"
"Vincent Edwards",77250,"Houston Rockets"
"Trevon Duval",77250,"Houston Rockets"
"Michael Frazier",47370,"Houston Rockets"
"James Nunnally",30494,"Houston Rockets"
"Victor Oladipo",2.1e+07,"Indiana Pacers"
"Thaddeus Young",13764045,"Indiana Pacers"
"Tyreke Evans",12400000,"Indiana Pacers"
"Bojan Bogdanovic",10500000,"Indiana Pacers"
"Darren Collison",1e+07,"Indiana Pacers"
"Cory Joseph",7945000,"Indiana Pacers"
"Doug McDermott",7333334,"Indiana Pacers"
"Kyle O'Quinn",4449000,"Indiana Pacers"
"Al Jefferson",4e+06,"Indiana Pacers"
"Myles Turner",3294994,"Indiana Pacers"
"Domantas Sabonis",2659800,"Indiana Pacers"
"TJ Leaf",2407560,"Indiana Pacers"
"Monta Ellis",2245400,"Indiana Pacers"
"Aaron Holiday",1914480,"Indiana Pacers"
"Nik Stauskas",1621415,"Indiana Pacers"
"Wade Baldwin",1544951,"Indiana Pacers"
"Ike Anigbogu",1349383,"Indiana Pacers"
"Alize Johnson",838464,"Indiana Pacers"
"Wesley Matthews",737715,"Indiana Pacers"
"Edmond Sumner",449794,"Indiana Pacers"
"Ben Moore",144849,"Indiana Pacers"
"Davon Reed",77250,"Indiana Pacers"
"Stephan Hicks",47370,"Indiana Pacers"
"Danilo Gallinari",21587579,"Los Angeles Clippers"
"Marcin Gortat",13565218,"Los Angeles Clippers"
"Wilson Chandler",12800562,"Los Angeles Clippers"
"JaMychal Green",8066667,"Los Angeles Clippers"
"Louis Williams",8e+06,"Los Angeles Clippers"
"Garrett Temple",8e+06,"Los Angeles Clippers"
"Milos Teodosic",6300000,"Los Angeles Clippers"
"Montrezl Harrell",6e+06,"Los Angeles Clippers"
"Alexis Ajinca",5285394,"Los Angeles Clippers"
"Patrick Beverley",5027028,"Los Angeles Clippers"
"Luc Mbah a Moute",4320500,"Los Angeles Clippers"
"Michael Beasley",3500000,"Los Angeles Clippers"
"Shai Gilgeous-Alexander",3375360,"Los Angeles Clippers"
"Jerome Robinson",3050160,"Los Angeles Clippers"
"Landry Shamet",1705920,"Los Angeles Clippers"
"Ivica Zubac",1544951,"Los Angeles Clippers"
"Rodney McGruder",1544951,"Los Angeles Clippers"
"Jawun Evans",1378242,"Los Angeles Clippers"
"Sindarius Thornwell",1378242,"Los Angeles Clippers"
"Tyrone Wallace",1349383,"Los Angeles Clippers"
"Justin Bibbs",92159,"Los Angeles Clippers"
"Angel Delgado",77250,"Los Angeles Clippers"
"Johnathan Motley",77250,"Los Angeles Clippers"
"LeBron James",35654150,"Los Angeles Lakers"
"Luol Deng",14354067,"Los Angeles Lakers"
"Kentavious Caldwell-Pope",1.2e+07,"Los Angeles Lakers"
"Rajon Rondo",9e+06,"Los Angeles Lakers"
"Lonzo Ball",7461960,"Los Angeles Lakers"
"Brandon Ingram",5757120,"Los Angeles Lakers"
"Mike Muscala",5e+06,"Los Angeles Lakers"
"Lance Stephenson",4449000,"Los Angeles Lakers"
"Reggie Bullock",2500000,"Los Angeles Lakers"
"JaVale McGee",2393887,"Los Angeles Lakers"
"Tyson Chandler",2136916,"Los Angeles Lakers"
"Moritz Wagner",1764240,"Los Angeles Lakers"
"Kyle Kuzma",1689840,"Los Angeles Lakers"
"Josh Hart",1655160,"Los Angeles Lakers"
"Isaac Bonga",1e+06,"Los Angeles Lakers"
"Johnathan Williams",127250,"Los Angeles Lakers"
"Alex Caruso",77250,"Los Angeles Lakers"
"Andre Ingram",76236,"Los Angeles Lakers"
"Scott Machado",76236,"Los Angeles Lakers"
"Jemerrio Jones",52170,"Los Angeles Lakers"
"Mike Conley",30521115,"Memphis Grizzlies"
"Chandler Parsons",24107258,"Memphis Grizzlies"
"Jonas Valanciunas",16539326,"Memphis Grizzlies"
"Avery Bradley",1.2e+07,"Memphis Grizzlies"
"Kyle Anderson",8641000,"Memphis Grizzlies"
"CJ Miles",8333333,"Memphis Grizzlies"
"Jaren Jackson",5922720,"Memphis Grizzlies"
"Justin Holiday",4500000,"Memphis Grizzlies"
"Delon Wright",2536898,"Memphis Grizzlies"
"Omri Casspi",2176260,"Memphis Grizzlies"
"Joakim Noah",1731172,"Memphis Grizzlies"
"Rade Zagorac",1378242,"Memphis Grizzlies"
"Dillon Brooks",1378242,"Memphis Grizzlies"
"Ivan Rabb",1378242,"Memphis Grizzlies"
"Dakari Johnson",1378242,"Memphis Grizzlies"
"Tyler Dorsey",1378242,"Memphis Grizzlies"
"Jevon Carter",838464,"Memphis Grizzlies"
"Bruno Caboclo",705361,"Memphis Grizzlies"
"Andrew Harrison",2e+05,"Memphis Grizzlies"
"Tyler Zeller",106974,"Memphis Grizzlies"
"Yuta Watanabe",77250,"Memphis Grizzlies"
"DJ Stephens",77250,"Memphis Grizzlies"
"Jarnell Stokes",77250,"Memphis Grizzlies"
"Julian Washburn",77250,"Memphis Grizzlies"
"Dusty Hannahs",47370,"Memphis Grizzlies"
"Chris Bosh",26837720,"Miami Heat"
"Hassan Whiteside",24434262,"Miami Heat"
"Ryan Anderson",20421546,"Miami Heat"
"Goran Dragic",18109175,"Miami Heat"
"James Johnson",14420700,"Miami Heat"
"Kelly Olynyk",13537527,"Miami Heat"
"Dion Waiters",12705000,"Miami Heat"
"Josh Richardson",9367200,"Miami Heat"
"Justise Winslow",3448926,"Miami Heat"
"Bam Adebayo",2955840,"Miami Heat"
"Udonis Haslem",2393887,"Miami Heat"
"Dwyane Wade",2393887,"Miami Heat"
"Derrick Jones",1512601,"Miami Heat"
"Yante Maten",385000,"Miami Heat"
"Duncan Robinson",77250,"Miami Heat"
"Charles Cooke",76236,"Miami Heat"
"Emanuel Terry",47370,"Miami Heat"
"Kendrick Nunn",47370,"Miami Heat"
"Giannis Antetokounmpo",24157304,"Milwaukee Bucks"
"George Hill",1.9e+07,"Milwaukee Bucks"
"Eric Bledsoe",1.5e+07,"Milwaukee Bucks"
"Khris Middleton",1.3e+07,"Milwaukee Bucks"
